Empresa,Tipo societario,Actividad / servicios,Direccion,Barrio,Telefono,Email,Web / Perfil,Contacto (rep. legal / gerente),NIT,Constituida,Fuente
Salud Integral Santander IPS SAS,SAS,Apoyo diagnostico,Carrera 32 #33-33,Centro,315 374 8286,,,,,2017-02-06,informacolombia / EMIS
Servicios de Salud Integrales SSI IPS SAS,SAS,Atencion de la salud humana,Carrera 23 #33-25 (tb. Calle 56 #22-45),,322 418 0260,,,,,,informacolombia / einforma / empresite
Soluciones Integrales IPS SAS,SAS,Seguros sociales de salud,Carrera 35 #44-70,Cabecera,302 780 4865,,,,,,informacolombia
Laboral Salud IPS SAS,SAS,Practica medica sin internacion / medicina laboral,Carrera 29 #40-44,Mejoras Publicas,607 632 3511,,laboralsaludips.com,,,,informacolombia / einforma
IPS Salud Medical SAS,SAS,Servicios de salud,Carrera 34 #44-54,Cabecera,318 827 1907,,,,,,informacolombia / empresite
Mediclinicos IPS SAS,SAS,Practica medica sin internacion + imagenes diagnosticas,Calle 55 #31-35,Antiguo Campestre,314 333 7475,citas@mediclinico.com,clinicasyhospitales.com.co/ips/mediclinicos-ips-s-a-s,Cristian Augusto Serrano Leon (gerente),,2010-11-09,informacolombia / EMIS / paginas amarillas
San Diego Servicios en Salud SAS,SAS,Servicios en salud,Calle 35 #21-74,,317 640 5282,,,,,,informacolombia
Paratimed IPS SAS,SAS,Servicios de salud,Carrera 28 #40-37 Cons. 101,,313 446 2124,,,,,,informacolombia
IPS Empresarial SAS,SAS,Practica medica sin internacion,Calle 36 #27-71 Of. 907-913,,304 344 3327,,,,,,informacolombia
Clinica IPS Cabecera SAS,SAS,Clinica / servicios de salud,Carrera 37 #51-86,Cabecera del Llano,304 677 4642 / 317 401 1415,info@ipscabecera.com,ipscabecera.com,,,,informacolombia / sitio propio
Medic Salud IPS SAS,SAS,Practica medica sin internacion,Carrera 35 #46-102,Cabecera del Llano,320 460 1337,,,,,,informacolombia / einforma
Vital Salud Family IPS SAS,SAS,Practica medica sin internacion,Carrera 34 #54-04,Cabecera del Llano,310 415 0531,,,,,,informacolombia
Somos Salud IPS SAS,SAS,Comercio de productos farmaceuticos / medicina integrativa,Calle 56 #28-41/47,Bolarqui,607 643 2418,,saluddar.com,,,,informacolombia / EMIS
Laboratorio Clinico Chicamocha SAS,SAS,Laboratorio clinico,Carrera 28 #40-37 Piso 1-2,,310 252 3476,,,,,,informacolombia
Centro Integral de Diagnostico Clinico CID SAS,SAS,Diagnostico clinico,Carrera 34 #51-55,,321 213 1821,,,,,,informacolombia
Dental Salud Clinica Estetica Oral SAS,SAS,Odontologia / estetica oral,Calle 41 #35-50,El Prado,316 832 8786,,,,,,informacolombia
Denthaus SAS,SAS,Odontologia,Calle 41 #36-20,,317 834 8199,,,,,,informacolombia
Casa Salud IPS SAS,SAS,Servicios de salud,Carrera 32D #17-86 (tb. Calle 63 #30-31),Conucos,,,facebook.com/casasaludipssas,Claudia Janeth Rodriguez Rangel (gerente),900794294,,informacolombia / clinicasyhospitales / facebook
Salud Vital y Riesgos Profesionales IPS SAS,SAS,Salud ocupacional / riesgos profesionales,Calle 52 #31-138,Antiguo Campestre,,,,,,2006-03-29,lasempresas / EMIS
Salud Vital IPS SAS,SAS,Salud ocupacional,Calle 52 #31-138,Sotomayor,607 657 1398 / 316 429 6696 / 317 349 7319,gerencia@saludvitalips.com,saludvitalips.com,,,,sitio propio
Laboral Medica Salud Ocupacional IPS SAS,SAS,Apoyo terapeutico / salud ocupacional,Calle 38 #34-66 Piso 1,El Prado,607 697 8480 / 318 686 4671,info@laboralmedicasoips.com,laboralmedicasoips.com,,,,empresite / einforma / sitio propio
Medicina Controles y Diagnosticos en Salud Ocupacional IPS SAS (Medicid),SAS,Salud ocupacional,,,,,medicidsas.com,,,,informacolombia / sitio propio
Asesorarte en Salud SAS,SAS,Asesoria en salud,Diagonal 35 #72-95 (La Gran Reserva),,607 617 6045,,,,,2010-08-09,informacolombia / lasempresas
Sede Servicio Especializado Integral de Salud SAS,SAS,Servicios integrales de salud / enfermeria,Carrera 19 #36-20 Of. 602 (Ed. Camara de Comercio),,301 316 1143,,,,,,einforma
Agencia de Seguros y Salud SAS,SAS,Seguros y salud,Carrera 33 #47-44 Local 113,Cabecera del Llano,607 630 0733,,,,,,informacolombia
Plan de Rehabilitacion Domiciliaria PRD IPS SAS,SAS,Rehabilitacion domiciliaria / apoyo terapeutico,Carrera 20 #158-40 (Ed. Makadamia),Diamante II,317 381 0511,,,,,,informacolombia
Imagenes Diagnosticas SAS,SAS,Imagenes diagnosticas / radiologia,Calle 52B #31-145,,,,clinicasyhospitales.com.co/ips/imagenes-diagnosticas-sas,,,,clinicasyhospitales
Vihonco IPS Bucaramanga SAS,SAS,Atencion ambulatoria,Calle 54 #31-30,Antiguo Campestre,,,,,,2008-11-28,EMIS
Health and Safety H&S IPS SAS,SAS,Salud ocupacional,,,,,,,,2015-02-02,EMIS
Sociedad Neuropsiquiatrica de Santander Funes SAS IPS,SAS,Neuropsiquiatria,,,,,,,,2013-08-06,lasempresas
Integrar Soluciones en Salud IPS SAS,SAS,Servicios de salud,,,,,,,,2016-04-08,lasempresas
Centro de Psicologia y Terapias IPS SAS,SAS,Psicologia y terapias,Calle 15A #1E-62,Los Caobos,,,centrodepsicologiayterapias.com,,807007509-6,,sitio propio
ICSA IPS SAS (Instituto Clinico de Salud),SAS,Medicina general y especializada / diagnostico,,,,,icsa.com.co,,,,sitio propio
IPS Sanar HealthCare SAS,SAS,Servicios de salud,,,,,ipssanar.com,,,,sitio propio
Grupo Empresarial Salud IPS SAS,SAS,Servicios de salud,,,,,,,,,EMIS
